    PID CLS PRI TTY          TIME CMD
   1844 TS   30 ?        00:00:50 pulseaudio
   1846 IDL   0 ?        00:00:00 tracker-miner-f
   1850 TS   19 ?        00:00:00 dbus-daemon
   1865 TS   19 ?        00:00:00 gvfsd
   1870 TS   19 ?        00:00:00 gvfsd-fuse
   1878 TS   19 ?        00:00:01 gvfs-udisks2-vo
   1883 TS   19 ?        00:00:00 gvfs-gphoto2-vo
   1887 TS   19 ?        00:00:00 gvfs-mtp-volume
   1892 TS   19 ?        00:00:00 gvfs-goa-volume
   1896 TS   19 ?        00:00:00 goa-daemon
   1903 TS   19 ?        00:00:00 goa-identity-se
   1909 TS   19 ?        00:00:00 gvfs-afc-volume
   1916 TS   19 ?        00:00:00 gnome-keyring-d
   1922 TS   29 ?        00:00:00 krfcommd
   1932 TS   19 tty2     00:00:00 gdm-x-session
   1934 TS   19 tty2     00:02:24 Xorg
   1949 TS   19 tty2     00:00:00 gnome-session-b
   2023 TS   19 ?        00:00:00 ssh-agent
   2040 TS   19 ?        00:00:00 at-spi-bus-laun
   2045 TS   19 ?        00:00:00 dbus-daemon
   2051 TS   19 ?        00:00:00 gnome-session-c
   2058 TS   19 ?        00:00:00 gnome-session-b
   2072 TS   19 ?        00:02:19 gnome-shell
   2095 TS   19 ?        00:00:06 ibus-daemon
   2099 TS   19 ?        00:00:00 ibus-memconf
   2100 TS   19 ?        00:00:01 ibus-extension-
   2104 TS   19 ?        00:00:03 ibus-x11
   2107 TS   19 ?        00:00:00 ibus-portal
   2116 TS   19 ?        00:00:01 at-spi2-registr
   2121 TS   19 ?        00:00:00 gnome-shell-cal
   2122 TS   19 ?        00:00:00 xdg-permission-
   2137 TS   19 ?        00:00:00 evolution-sourc
   2145 TS   19 ?        00:00:00 gjs
   2157 TS   19 ?        00:00:00 evolution-calen
   2164 TS   19 ?        00:00:00 gsd-a11y-settin
   2165 TS   19 ?        00:00:00 gsd-color
   2166 TS   19 ?        00:00:00 gsd-datetime
   2168 TS   19 ?        00:00:00 gsd-housekeepin
   2171 TS   19 ?        00:00:00 gsd-keyboard
   2173 TS   19 ?        00:00:00 gsd-media-keys
   2175 TS   19 ?        00:00:00 gsd-power
   2178 TS   19 ?        00:00:00 gsd-print-notif
   2182 TS   19 ?        00:00:00 gsd-rfkill
   2184 TS   19 ?        00:00:00 gsd-screensaver
   2185 TS   19 ?        00:00:00 gsd-sharing
   2187 TS   19 ?        00:00:00 gsd-smartcard
   2189 TS   19 ?        00:00:00 gsd-sound
   2193 TS   19 ?        00:00:00 gsd-usb-protect
   2194 TS   19 ?        00:00:00 gsd-wacom
   2197 TS   19 ?        00:00:00 gsd-wwan
   2199 TS   19 ?        00:00:00 gsd-xsettings
   2214 TS   19 ?        00:00:00 evolution-alarm
   2221 TS   19 ?        00:00:00 gsd-disk-utilit
   2229 TS   19 ?        00:00:00 gsd-printer
   2276 TS   19 ?        00:00:01 ibus-engine-sim
   2289 TS   19 ?        00:00:00 gvfsd-trash
   2330 TS   19 ?        00:00:00 dconf-service
   2334 TS   19 ?        00:00:00 evolution-addre
   2350 TS   19 ?        00:00:05 snap-store
   2368 TS   19 ?        00:00:00 xdg-document-po
   2410 TS   19 ?        00:02:11 chrome
   2418 TS   19 ?        00:00:00 cat
   2419 TS   19 ?        00:00:00 cat
   2471 TS   19 ?        00:00:00 chrome_crashpad
